empresa,iban,producto,importe,fecha_contrato,activa
Omega S.L.,ES41259360979064359422,leasing,33453.12,2022-05-05,1
Nova S.L.,ES18592393286810328795,hipoteca,29770.03,2023-06-06,1
Gamma S.L.,ES05437723130375668959,leasing,37510.92,2023-09-07,1
Alpha S.L.,ES01470694358015446670,leasing,30865.13,2025-07-01,1
Omega S.L.,ES83134954744145514410,seguro,31768.72,2025-11-09,1
Nova S.L.,ES86365589442726045690,seguro,45459.93,2022-08-03,1
Alpha S.L.,ES87716806653433512167,seguro,19190.83,2023-02-04,1
Beta S.L.,ES97409317707184358727,seguro,7134.01,2022-06-23,1
Omega S.L.,ES89817311801140399414,seguro,24593.19,2024-09-10,1
Omega S.L.,ES27350934089901666553,leasing,20186.95,2025-01-08,1
Alpha S.L.,ES98927633580916904344,seguro,35713.01,2024-06-30,1
Delta S.L.,ES12729911377717134719,hipoteca,30693.91,2022-08-30,1
Gamma S.L.,ES59268983317563205852,leasing,32683.49,2023-06-19,1
Nova S.L.,ES23562795376100264481,seguro,36684.82,2022-01-30,1
Beta S.L.,ES20707239907251235849,seguro,47845.95,2022-04-05,1
Beta S.L.,ES95294827151119266249,leasing,42047.86,2024-05-27,1
Omega S.L.,ES91697082643912694791,hipoteca,27590.07,2023-09-06,1
Delta S.L.,ES19046949839329132671,leasing,38639.93,2022-04-30,1
Delta S.L.,ES76181699338626605903,leasing,11807.35,2025-08-08,1
Delta S.L.,ES29560184174323295081,seguro,34779.3,2025-08-23,1
Nova S.L.,ES88543068668571829057,hipoteca,37357.26,2023-01-08,1
Omega S.L.,ES03200524598214126159,hipoteca,31342.69,2025-08-01,1
Delta S.L.,ES32657458851623147171,hipoteca,30851.35,2025-12-20,1
Alpha S.L.,ES68737906617309302644,seguro,25843.21,2025-07-06,1
Nova S.L.,ES96972575877029976181,seguro,21670.32,2023-02-10,1
Delta S.L.,ES85791389849558186023,leasing,46049.92,2022-11-01,1
Delta S.L.,ES24616137204364763581,leasing,31824.2,2025-02-27,1
Nova S.L.,ES20484053407572910406,hipoteca,33658.73,2023-04-06,1
Alpha S.L.,ES99740935395144508644,leasing,19597.05,2023-01-29,1
Gamma S.L.,ES69987865820346831001,leasing,40861.23,2022-01-23,1
Gamma S.L.,ES54621614621521809126,leasing,34692.08,2022-12-09,1
Omega S.L.,ES17692971947276674484,hipoteca,21945.3,2024-07-08,1
Omega S.L.,ES14373107343335465171,seguro,12752.77,2025-01-01,1
Gamma S.L.,ES59312634825913912197,leasing,7577.75,2025-07-02,1
Delta S.L.,ES83958469462765927836,seguro,22067.8,2025-05-28,1
Gamma S.L.,ES67354680875553367654,leasing,18767.14,2025-09-18,1
Delta S.L.,ES42534289558722734126,hipoteca,22155.61,2023-03-18,1
Alpha S.L.,ES06260866634924019281,seguro,48128.59,2025-08-09,1
Omega S.L.,ES06416970175379215288,seguro,43018.46,2023-11-26,1
Delta S.L.,ES05959771171742129159,hipoteca,19081.67,2023-01-12,1
Delta S.L.,ES03989882626894810727,seguro,43708.26,2025-11-13,1
Nova S.L.,ES48739983624932092694,hipoteca,19960.41,2022-02-08,1
Beta S.L.,ES50473971976072402404,hipoteca,17295.45,2023-06-11,1
Nova S.L.,ES40633519050829905641,hipoteca,23582.85,2025-11-28,1
Omega S.L.,ES19158826409937301484,hipoteca,26695.61,2024-12-24,1
Beta S.L.,ES63061377063784320489,leasing,16817.72,2025-01-26,1
Alpha S.L.,ES62062486435843177609,leasing,44749.84,2022-01-04,1
Gamma S.L.,ES14103020679397529631,hipoteca,44949.13,2024-05-18,1
Beta S.L.,ES10149507147050090932,hipoteca,38833.95,2025-06-16,1
Beta S.L.,ES97184536115378990006,hipoteca,31176.24,2025-07-16,1
Gamma S.L.,ES79514121002144497838,seguro,17811.52,2022-08-21,1
Delta S.L.,ES76786616250774330446,leasing,34167.02,2025-05-19,1
Omega S.L.,ES43622558824184939038,hipoteca,28951.88,2025-01-21,1
Beta S.L.,ES12026040771125011113,leasing,8531.27,2023-12-25,1
Delta S.L.,ES32728816204908474783,seguro,48748.79,2025-03-11,1
Gamma S.L.,ES16228202075013015632,leasing,15999.16,2022-01-21,1
Nova S.L.,ES98402869031641764297,seguro,5691.67,2022-01-28,1
Nova S.L.,ES14321831283062867643,leasing,32511.88,2024-07-11,1
Nova S.L.,ES40637961091373348931,seguro,18104.12,2022-01-22,1
Beta S.L.,ES03214749954213713932,leasing,40276.92,2024-01-17,1
Omega S.L.,ES99605686309211741631,seguro,27830.21,2022-10-26,1
Omega S.L.,ES96263212451991346014,seguro,26838.22,2025-06-18,1
Nova S.L.,ES69292750603114112877,hipoteca,38859.31,2025-04-17,1
Beta S.L.,ES41651572345258835639,hipoteca,14803.92,2024-06-10,1
Omega S.L.,ES52905672598293967367,seguro,8820.8,2024-07-08,1
Delta S.L.,ES64664467891491770517,seguro,15905.31,2025-07-31,1
Alpha S.L.,ES17821342166324630880,hipoteca,7650.28,2022-11-09,1
Gamma S.L.,ES02585447461080958055,seguro,28628.68,2023-12-17,1
Alpha S.L.,ES42255686908968530393,seguro,28633.64,2022-09-25,1
Alpha S.L.,ES75294413960465803226,hipoteca,16278.65,2023-09-24,1
Beta S.L.,ES96436446278356932345,seguro,10704.58,2023-04-05,1
Alpha S.L.,ES98711004971206709870,seguro,9226.29,2024-05-13,1
Omega S.L.,ES51287284324479206638,hipoteca,15773.33,2024-11-05,1
Omega S.L.,ES94205875133219703342,hipoteca,39575.79,2024-02-05,1
Nova S.L.,ES56383286854788600952,hipoteca,38050.07,2023-07-24,1
Alpha S.L.,ES85996398925745146328,seguro,48162.39,2024-05-15,1
Alpha S.L.,ES35007834665463090701,hipoteca,5272.63,2025-03-02,1
Nova S.L.,ES19375112902181134841,leasing,43840.78,2024-08-16,1
Gamma S.L.,ES30621011211142852194,hipoteca,30608.42,2024-11-12,1
Delta S.L.,ES82485902359190171239,leasing,8463.1,2025-03-11,1
Nova S.L.,ES63137395578418726077,leasing,12371.82,2023-12-07,1
Gamma S.L.,ES66511079208134675492,hipoteca,27962.28,2023-02-03,1
Gamma S.L.,ES26319053199405082017,leasing,38932.04,2022-08-27,1
Delta S.L.,ES14645982220576696746,hipoteca,9431.94,2022-05-06,1
Delta S.L.,ES41720166215970562578,hipoteca,9174.35,2024-11-30,1
Alpha S.L.,ES22804461089592810601,leasing,6000.1,2025-08-15,1
Alpha S.L.,ES42901383754678448490,seguro,5842.23,2022-09-27,1
Alpha S.L.,ES02101049470115793068,leasing,38341.61,2025-06-24,1
Omega S.L.,ES55649018303055231614,hipoteca,14107.9,2024-03-30,1
Delta S.L.,ES78870388927388270597,hipoteca,8028.63,2022-07-23,1
Omega S.L.,ES98589236845339374805,seguro,21562.63,2024-04-19,1
Beta S.L.,ES01134921826575632845,leasing,47140.31,2023-05-12,1
Gamma S.L.,ES67090829146366647812,hipoteca,38068.9,2023-07-05,1
Alpha S.L.,ES78971552302974036441,hipoteca,37952.98,2023-06-20,1
Gamma S.L.,ES54534897309042849380,hipoteca,34669.5,2023-03-03,1
Nova S.L.,ES36141454537245831901,seguro,24230.95,2025-03-23,1
Nova S.L.,ES28435232404422690258,leasing,17518.96,2023-04-07,1
Beta S.L.,ES33746833147263780053,seguro,18976.39,2024-09-04,1
Gamma S.L.,ES88291864690380778059,leasing,24162.22,2024-08-15,1
Omega S.L.,ES40068490854982931555,hipoteca,38340.59,2024-04-22,1
Delta S.L.,ES10636687191483318001,leasing,17073.59,2023-08-26,1
Nova S.L.,ES29084656277847432726,hipoteca,27687.47,2022-03-14,1
Beta S.L.,ES83337701347446398138,seguro,5615.4,2023-06-22,1
Gamma S.L.,ES79081940479688215627,leasing,33298.37,2024-09-07,1
Delta S.L.,ES15814404930516024520,seguro,25188.65,2024-04-05,1
Delta S.L.,ES75086917335990489921,leasing,36166.2,2022-05-26,1
Gamma S.L.,ES72153292627493165608,leasing,27712.69,2025-11-17,1
Alpha S.L.,ES88170709694633472022,hipoteca,38307.66,2022-02-05,1
Delta S.L.,ES25991844422779725603,hipoteca,39914.13,2024-09-06,1
Alpha S.L.,ES52759951007234973597,leasing,34772.65,2025-05-25,1
